feature,importance,importance_percent,cumulative_percent
iTnH2 (°C),69.55890303189155,69.56,69.56
air_outlet_flow,9.243115261397175,9.24,78.8
coolant_flow,8.887240667350092,8.89,87.69
current,6.074392492141352,6.07,93.75999999999999
J (A/cm²),3.449271646209574,3.45,97.21
air_outlet_pressure,1.0165789592465593,1.02,98.22999999999999
coolant_inlet_temp,0.931701611570653,0.93,99.16
air_outlet_temp,0.2945219127460262,0.29,99.45
air_inlet_pressure,0.29076383653054527,0.29,99.74000000000001
hydrogen_inlet_temp,0.10619892884642183,0.11,99.85000000000001
hydrogen_inlet_flow,0.0991142560480136,0.1,99.95
coolant_outlet_temp,0.023318090457668163,0.02,99.97
hydrogen_outlet_temp,0.01542876876449973,0.02,99.99
air_inlet_humidity,0.009450536799882617,0.01,100.0
air_inlet_temp,0.0,0.0,100.0
hydrogen_outlet_pressure,0.0,0.0,100.0
air_inlet_flow,0.0,0.0,100.0
hydrogen_inlet_pressure,0.0,0.0,100.0
hydrogen_outlet_flow,0.0,0.0,100.0
